Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
42,2.0,0.0,0.0,87.0,2.0,34.0,1990.0,0.1,27.006000000000007,0.0,0.0,438.72855710983276,,,,,,,,,,,,,,,,,,,,,11.810463827139102,9.020754007976107,26.657733038220684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,146.0,3.0,59.0,2049.0,0.1,49.00899999999998,0.0,0.0,444.1744637489319,,,,,,,,,,,,,,,,,,,,,21.252617093028018,15.759846961681836,47.8507492392406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,229.0,4.0,83.0,2132.0,0.1,36.04599999999996,0.0,0.0,451.6421175003052,,,,,,,,,,,,,,,,,,,,,17.330623832120704,9.121651272901744,34.676877299656006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,266.0,5.0,37.0,2169.0,0.1,27.00900000000001,0.0,0.0,455.5036346912384,,,,,,,,,,,,,,,,,,,,,10.855727037879763,9.2287623059141,26.660632704374503,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,378.0,6.0,112.0,2281.0,0.1,102.00900000000004,0.0,0.0,465.37983989715576,,,,,,,,,,,,,,,,,,,,,46.23504840247442,30.327718946517713,97.02462680791193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,477.0,7.0,99.0,2380.0,0.1,90.00800000000004,0.0,0.0,474.21579480171204,,,,,,,,,,,,,,,,,,,,,41.03934003740868,26.954487445738234,86.11725372649582,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,558.0,8.0,81.0,2461.0,0.1,72.00800000000004,0.0,0.0,481.44381403923035,,,,,,,,,,,,,,,,,,,,,32.55441422373489,22.076349080024073,69.51004302388222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,585.0,9.0,27.0,2488.0,0.1,18.00800000000001,0.0,0.0,484.1224331855774,,,,,,,,,,,,,,,,,,,,,6.9648410771201315,6.363086827517065,17.85564272071647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,631.0,10.0,46.0,2534.0,0.1,32.01299999999997,0.0,0.0,488.6818232536316,,,,,,,,,,,,,,,,,,,,,12.05591301796076,10.930015263923034,31.521439358451353,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,678.0,11.0,47.0,2581.0,0.1,37.00899999999998,0.0,0.0,493.16456604003906,,,,,,,,,,,,,,,,,,,,,15.560034738121436,12.254096279712938,36.350342702370334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,712.0,12.0,34.0,2615.0,0.1,25.00800000000001,0.0,0.0,496.56164145469666,,,,,,,,,,,,,,,,,,,,,10.215673062721867,8.561502710659374,24.710062530866665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,735.0,13.0,23.0,2638.0,0.1,16.006000000000007,0.0,0.0,498.9707190990448,,,,,,,,,,,,,,,,,,,,,6.57864569490052,5.661408113174438,15.886448158886903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,763.0,14.0,28.0,2666.0,0.1,19.00800000000001,0.0,0.0,502.0213100910187,,,,,,,,,,,,,,,,,,,,,7.423916370470046,6.683039212811271,18.837787077995753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,783.0,15.0,20.0,2686.0,0.1,13.005999999999997,0.0,0.0,504.19472455978394,,,,,,,,,,,,,,,,,,,,,5.182524580235086,4.702588923860595,12.928192966134601,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
